profile_index,failure_probability,raw_isolation_forest_score,calibrated_anomaly_score,risk_score,risk_band,final_recommended_action,confidence,confidence_level
1423,0.95,0.05288670240639337,0.8690125,0.9257037499999998,Restart Task,Restart Task,0.919013,HIGH
1424,0.0,0.13954661866648094,0.24065000000000003,0.07219500000000001,Normal,Normal,0.75935,MEDIUM
1425,0.0,0.10203362226427887,0.651525,0.1954575,Normal,Normal,0.348475,LOW
1426,0.0,0.13651494345099324,0.29069999999999996,0.08720999999999998,Normal,Normal,0.7093,MEDIUM
1427,1.0,0.09632748825818377,0.6894374999999999,0.90683125,Restart Task,Restart Task,0.689437,MEDIUM
1428,1.0,0.1268051866009718,0.42403749999999996,0.82721125,Restart Task,Restart Task,0.424037,LOW
1429,0.0,0.10464294111652522,0.6342,0.19025999999999998,Normal,Normal,0.3658,LOW
1430,0.0,0.10140190795824167,0.6556500000000001,0.196695,Normal,Normal,0.34435,LOW
1431,0.97,0.07418229299540241,0.7930125,0.9169037499999999,Restart Task,Restart Task,0.823013,HIGH
1432,0.01,0.10593443623334159,0.6248374999999999,0.19445125,Normal,Normal,0.385163,LOW
1433,0.0,0.1112897788310484,0.5826125,0.17478375,Normal,Normal,0.417388,LOW
1434,0.795,0.12057901335773119,0.49501249999999997,0.7050037499999999,Restart Task,Restart Task,0.700012,MEDIUM
1435,0.0,0.07806008261439618,0.7777000000000001,0.23331000000000002,Normal,Normal,0.2223,LOW
1436,0.005,0.11362537380460164,0.5627249999999999,0.17231749999999998,Normal,Normal,0.442275,LOW
1437,0.0,0.13549150022563872,0.30667500000000003,0.0920025,Normal,Normal,0.693325,MEDIUM
1438,0.0,0.11037898391911927,0.5900624999999999,0.17701874999999997,Normal,Normal,0.409938,LOW
1439,0.005,0.11522563151725795,0.548825,0.1681475,Normal,Normal,0.456175,LOW
1440,1.0,0.03255708074814401,0.9149625,0.9744887499999999,Restart Task,Restart Task,0.914963,HIGH
1441,0.005,0.07924649912777137,0.7726375,0.23529124999999998,Normal,Normal,0.232363,LOW
1442,0.0,0.0928925162416685,0.7088875,0.21266625,Normal,Normal,0.291112,LOW
1443,0.995,0.11762324768473315,0.5257000000000001,0.85421,Restart Task,Restart Task,0.5307,LOW
1444,0.0,0.021341209826194696,0.9313375,0.27940125,Normal,Normal,0.068662,LOW
1445,1.0,0.0649592282904104,0.82955,0.948865,Restart Task,Restart Task,0.82955,HIGH
1446,0.0,-0.03428594680055619,0.9679375,0.29038125,Normal,Normal,0.032062,LOW
1447,0.0,0.14343020491917036,0.17149999999999999,0.051449999999999996,Normal,Normal,0.8285,HIGH
1448,0.0,0.0964223500075192,0.6888624999999999,0.20665874999999997,Normal,Normal,0.311138,LOW
1449,0.0,0.11105048568559489,0.5846625,0.17539875,Normal,Normal,0.415338,LOW
1450,0.0,0.13506640086764998,0.31323749999999995,0.09397124999999998,Normal,Normal,0.686763,MEDIUM
1451,0.0,0.0640289611461719,0.8328,0.24983999999999998,Normal,Normal,0.1672,LOW
1452,0.0,0.12253178585795838,0.47426250000000003,0.14227875,Normal,Normal,0.525737,LOW
1453,0.0,-0.09700953102029974,0.991825,0.29754749999999996,Normal,Normal,0.008175,LOW
1454,0.0,0.12584316093786158,0.43562500000000004,0.1306875,Normal,Normal,0.564375,MEDIUM
1455,0.02,0.08995234691376774,0.724475,0.2313425,Normal,Normal,0.295525,LOW
1456,1.0,0.11396560046830656,0.5595,0.86785,Restart Task,Restart Task,0.5595,MEDIUM
1457,0.0,0.11446590786389976,0.554975,0.1664925,Normal,Normal,0.445025,LOW
1458,0.0,0.13629000311008305,0.2949125,0.08847375,Normal,Normal,0.705087,MEDIUM
1459,0.0,0.11070336729287344,0.5871625,0.17614875,Normal,Normal,0.412837,LOW
1460,0.99,0.05441828016765787,0.8646125,0.9523837499999999,Restart Task,Restart Task,0.874613,HIGH
1461,0.0,0.1087883996091199,0.6037375,0.18112125,Normal,Normal,0.396262,LOW
1462,1.0,0.12222827126871338,0.477325,0.8431974999999999,Restart Task,Restart Task,0.477325,LOW
1463,1.0,0.09049959913787275,0.7218125,0.91654375,Restart Task,Restart Task,0.721812,MEDIUM
1464,1.0,0.12411555068347319,0.4557875,0.83673625,Restart Task,Restart Task,0.455788,LOW
1465,0.965,-0.07077987937016705,0.98475,0.970925,Restart Task,Restart Task,0.98025,HIGH
1466,0.005,0.12051112056583535,0.495625,0.1521875,Normal,Normal,0.509375,LOW
1467,0.99,0.14450960560346016,0.1514875,0.73844625,Restart Task,Restart Task,0.161488,LOW
1468,0.0,0.12990558662878465,0.38549999999999995,0.11564999999999998,Normal,Normal,0.6145,MEDIUM
1469,0.0,0.13106351719070874,0.37070000000000003,0.11121,Normal,Normal,0.6293,MEDIUM
1470,0.0,0.13211539344882817,0.35621250000000004,0.10686375000000001,Normal,Normal,0.643787,MEDIUM
1471,0.0,0.11170043146148001,0.579475,0.17384249999999998,Normal,Normal,0.420525,LOW
1472,0.0,0.14406372408069673,0.15997499999999998,0.047992499999999993,Normal,Normal,0.840025,HIGH
1473,0.0,0.1377305702883117,0.27035,0.081105,Normal,Normal,0.72965,MEDIUM
1474,0.0,0.12523799021994952,0.44289999999999996,0.13287,Normal,Normal,0.5571,MEDIUM
1475,0.0,-0.018421782050030866,0.9612625,0.28837875,Normal,Normal,0.038737,LOW
1476,0.0,0.1379615713036535,0.2664375,0.07993125,Normal,Normal,0.733563,MEDIUM
1477,0.005,-0.02457062509195418,0.9642,0.29275999999999996,Normal,Normal,0.0408,LOW
1478,0.18,0.12521640409957363,0.44325000000000003,0.258975,Normal,Normal,0.73675,MEDIUM
1479,1.0,0.13497244170316242,0.3145875,0.79437625,Restart Task,Restart Task,0.314588,LOW
1480,0.035,0.11849385015074004,0.5161875,0.17935625,Normal,Normal,0.518813,LOW
1481,0.0,0.13146775966637247,0.36543749999999997,0.10963124999999999,Normal,Normal,0.634563,MEDIUM
1482,0.0,0.12636566910962416,0.4291625,0.12874875,Normal,Normal,0.570837,MEDIUM
1483,1.0,0.12884043046063154,0.3994,0.81982,Restart Task,Restart Task,0.3994,LOW
1484,0.005,0.06343327275829963,0.8352125,0.25406375,Normal,Normal,0.169787,LOW
1485,0.0,0.12202729556147085,0.47924999999999995,0.143775,Normal,Normal,0.52075,LOW
1486,1.0,-0.0670221454994896,0.98115,0.9943449999999999,Restart Task,Restart Task,0.98115,HIGH
1487,0.0,0.13889517780372357,0.25063749999999996,0.07519124999999999,Normal,Normal,0.749363,MEDIUM
1488,0.97,0.07930556468307404,0.7723875,0.9107162499999999,Restart Task,Restart Task,0.802388,HIGH
1489,0.005,0.05902550407703189,0.850425,0.2586275,Normal,Normal,0.154575,LOW
1490,0.0,0.08897576457040002,0.7291000000000001,0.21873,Normal,Normal,0.2709,LOW
1491,0.0,0.08634034659363315,0.7424875,0.22274624999999998,Normal,Normal,0.257513,LOW
1492,0.0,0.032610984675327304,0.9147625,0.27442875,Normal,Normal,0.085237,LOW
1493,0.015,0.08762111447693632,0.7357125,0.23121375,Normal,Normal,0.279288,LOW
1494,0.0,0.0864215156522935,0.7421,0.22263,Normal,Normal,0.2579,LOW
1495,0.975,0.14121983452814602,0.21335000000000004,0.746505,Restart Task,Restart Task,0.23835,LOW
1496,0.005,0.05995981678915707,0.84755,0.257765,Normal,Normal,0.15745,LOW
1497,0.0,0.13068320751839002,0.3757125,0.11271375,Normal,Normal,0.624287,MEDIUM
1498,1.0,0.11697612227674647,0.5320875,0.8596262499999999,Restart Task,Restart Task,0.532088,LOW
1499,1.0,0.122078487437702,0.47865,0.843595,Restart Task,Restart Task,0.47865,LOW
1500,0.0,0.13331617309434896,0.33891249999999995,0.10167374999999998,Normal,Normal,0.661088,MEDIUM
1501,0.0,0.12382723055541944,0.459025,0.1377075,Normal,Normal,0.540975,LOW
